feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
78.442,75.644,78.329,78.05,8.588,67.636,-491.763,-1.719,4.245,A
79.632,77.287,75.437,76.427,10.844,68.136,-997.1,-0.796,2.954,A
76.738,76.606,78.619,75.24,26.095,68.925,-879.125,0.912,2.796,A
79.948,78.96,78.206,75.596,41.601,66.997,-603.891,-0.28,-2.818,A
78.388,78.177,76.156,76.261,18.319,66.514,-50.758,0.328,-1.941,A
78.082,77.773,75.796,75.163,12.504,67.803,-429.115,-0.335,-1.682,A
76.763,77.191,78.995,75.688,35.293,69.792,-545.799,-1.476,2.422,A
79.189,76.626,76.909,76.616,22.196,66.631,-93.611,-1.34,-1.699,A
76.433,76.075,76.631,76.42,23.814,67.8,-244.532,-0.107,4.63,A
78.904,78.75,78.9,76.049,2.109,68.636,-729.093,-0.673,-1.828,A
79.977,78.64,75.812,78.514,37.619,66.983,-782.924,-0.116,3.625,A
78.35,77.6,76.522,78.192,14.193,66.089,-954.031,0.098,-0.454,A
78.549,76.557,77.3,77.744,0.481,67.571,-185.258,-1.172,5.828,A
79.455,77.184,76.83,75.676,27.892,68.848,-335.246,-0.149,-1.481,A
79.692,78.605,76.52,75.079,24.254,69.175,-847.461,-0.717,-0.906,A
78.604,75.929,76.636,75.955,49.989,68.792,-855.487,-0.553,2.904,A
79.754,75.293,78.818,78.169,3.651,67.257,-339.871,-1.995,-1.464,A
76.654,75.836,75.913,78.308,1.865,67.196,-237.12,-1.802,-0.756,A
78.535,76.433,76.278,75.515,33.796,68.197,-381.435,0.258,1.777,A
78.986,78.919,75.656,77.696,47.337,67.892,-307.969,0.59,2.228,A
78.319,76.489,78.198,75.531,34.932,68.745,-800.9,-0.794,4.157,A
79.993,77.284,77.181,77.402,14.846,66.876,-977.155,-0.13,-2.042,A
76.074,76.607,77.634,76.414,45.115,68.241,-471.27,-1.089,-0.816,A
79.029,76.378,77.484,77.571,45.244,66.029,-463.501,0.128,3.066,A
79.569,77.848,77.625,75.271,15.318,66.032,-497.198,-1.553,0.718,A
79.803,77.663,78.917,76.304,22.436,69.126,-802.117,-0.985,1.408,A
78.515,78.883,75.022,76.706,19.032,67.486,-232.903,-0.258,0.994,A
77.553,77.976,76.47,76.584,35.563,67.126,-716.92,0.098,3.224,A
79.65,77.069,76.727,78.381,25.666,67.366,-522.985,-0.398,-2.623,A
79.377,75.638,78.712,76.065,44.531,67.775,-472.887,-1.686,3.701,A
76.106,77.293,75.852,78.713,43.3,66.175,-829.631,0.095,-1.672,A
77.568,78.991,77.837,78.444,36.187,66.559,-611.843,-0.327,4.498,A
76.281,76.941,75.132,78.798,30.2,69.328,-880.135,0.606,-2.713,A
79.127,75.968,75.78,78.064,8.812,69.627,-724.968,-1.71,4.955,A
76.787,76.29,76.857,77.748,49.991,68.104,-757.697,0.781,-1.276,A
79.616,75.953,77.995,77.213,21.605,66.041,-707.819,-0.194,-1.1,A
77.817,77.386,76.772,76.97,47.283,67.479,-436.817,-1.863,-0.435,A
77.899,75.266,75.089,77.781,29.133,66.746,-943.495,-0.081,-0.533,A
77.23,78.729,75.046,77.865,33.979,67.912,-611.017,-0.188,0.617,A
77.035,76.006,78.972,75.046,11.123,66.361,-649.508,-1.987,3.898,A
79.529,75.122,77.498,75.339,29.88,67.611,-192.109,-0.634,0.866,A
79.861,78.681,76.144,77.869,3.891,67.849,-841.037,-1.306,2.109,A
79.026,78.349,76.614,78.53,9.669,66.254,-595.614,0.611,4.235,A
79.36,76.121,76.848,78.972,48.288,67.1,-239.368,-1.516,1.179,A
79.296,75.155,75.489,78.699,43.589,69.687,-380.428,-1.944,5.697,A
77.215,78.476,78.315,77.251,14.983,69.943,-345.429,0.61,1.247,A
76.413,78.663,76.163,75.941,49.912,68.875,-772.426,-0.981,4.466,A
78.422,76.123,76.011,76.062,7.102,67.867,-523.534,0.358,-2.169,A
78.637,78.002,76.732,78.287,41.352,67.178,-936.478,0.986,0.799,A
77.938,77.171,76.595,76.407,40.673,66.018,-425.827,-0.921,1.086,A
76.127,78.814,76.348,78.399,36.344,68.58,-70.881,-0.549,1.844,A
76.139,76.169,77.327,75.401,29.817,66.496,-807.818,-0.816,4.233,A
78.167,76.134,76.351,75.019,38.513,68.352,-81.938,-0.628,5.55,A
76.416,77.503,76.798,76.567,48.703,69.88,-263.838,-0.815,-1.469,A
78.899,75.259,76.28,76.345,16.625,69.64,-633.469,0.336,-0.601,A
78.723,78.8,77.33,75.765,20.892,66.797,-124.665,-1.436,2.71,A
79.211,76.451,75.894,75.618,47.3,69.186,-668.626,-0.6,-2.155,A
77.57,77.143,78.133,77.947,23.046,67.107,-573.303,-1.687,5.183,A
77.069,77.613,77.599,78.213,30.088,67.196,-955.105,0.751,1.327,A
79.978,76.801,76.995,77.101,1.098,69.492,-124.457,-1.205,1.149,A
79.155,77.692,76.62,77.255,20.667,68.378,-485.178,-1.782,0.481,A
78.92,76.846,75.445,77.329,46.677,67.941,-338.203,-1.05,-1.605,A
76.62,78.487,78.141,77.073,26.484,66.78,-120.77,-0.347,2.739,A
79.968,78.158,78.313,76.359,15.059,66.328,-245.002,-1.877,5.275,A
78.531,75.817,77.282,76.258,28.276,69.242,-475.005,-0.984,2.427,A
76.265,75.569,78.942,75.348,36.318,67.041,-989.582,-0.738,2.494,A
79.643,76.494,77.531,75.187,42.359,66.397,-505.443,-0.983,-1.045,A
76.399,75.516,76.45,78.774,34.641,66.238,-303.06,-0.779,-2.013,A
78.276,75.573,77.361,78.924,19.104,67.487,-843.53,0.888,4.564,A
77.231,77.965,76.488,75.139,19.874,69.564,-775.669,0.117,4.783,A
76.391,78.497,78.604,77.662,14.214,67.247,-118.632,0.886,0.698,A
62.019,66.884,61.126,66.92,31.502,68.109,-827.505,0.33,-1.554,B
62.492,64.139,61.345,64.242,60.504,70.853,-478.023,0.732,5.8,B
64.111,66.797,64.105,64.909,77.098,70.899,-129.617,0.017,-1.026,B
65.662,66.048,61.124,64.332,75.227,71.243,-947.049,-0.336,3.329,B
64.768,64.502,64.815,66.609,56.716,72.676,-546.446,0.994,0.347,B
63.865,66.589,61.498,66.794,15.189,70.445,-185.977,-1.781,4.088,B
65.513,63.433,62.046,64.342,39.386,70.526,-699.527,-1.103,1.833,B
65.131,66.37,63.765,63.464,79.337,68.267,-568.187,-0.766,3.326,B
62.927,64.194,63.366,63.122,48.507,72.108,-395.692,0.345,2.24,B
64.436,66.848,64.821,65.959,58.996,68.286,-302.387,-1.481,4.665,B
64.075,65.896,64.785,66.264,29.001,70.936,-589.552,-0.816,5.292,B
64.568,64.13,61.778,63.533,57.418,69.849,-690.512,-0.035,4.453,B
64.629,63.444,62.58,64.175,13.696,72.524,-191.955,-1.064,2.853,B
62.513,63.272,64.793,63.31,25.157,72.479,-14.192,0.198,4.347,B
62.172,66.284,62.074,63.921,83.316,70.355,-157.472,0.356,5.957,B
64.839,64.143,62.27,63.425,6.656,70.425,-692.613,-0.583,-1.276,B
63.731,65.18,62.606,64.325,28.841,70.63,-735.12,0.726,2.052,B
62.855,66.479,64.457,63.273,51.055,71.266,-96.47,0.153,-1.841,B
63.793,64.153,63.758,66.058,76.41,72.408,-269.324,0.404,1.98,B
65.76,65.746,61.309,66.58,82.583,68.163,-258.009,-0.175,0.487,B
65.448,63.791,62.658,65.317,72.291,68.592,-519.047,0.476,-0.161,B
64.391,64.596,63.152,63.19,57.733,69.283,-787.764,-0.049,3.418,B
64.267,64.103,63.182,63.226,30.303,71.309,-974.54,0.076,0.474,B
63.528,64.884,62.129,63.372,86.853,71.446,-982.518,-0.968,5.243,B
65.253,65.955,62.335,63.212,1.162,69.039,-430.666,-1.112,5.983,B
62.7,65.147,62.524,63.697,50.791,69.69,-170.786,-0.52,2.707,B
62.288,66.302,62.013,65.429,43.876,68.788,-24.056,-1.057,1.703,B
64.725,66.001,63.644,64.601,75.102,68.305,-162.703,-0.722,4.833,B
65.104,63.678,64.472,66.24,64.104,71.122,-586.223,-1.971,5.554,B
65.666,64.61,62.673,63.789,62.246,69.147,-939.552,-0.747,1.285,B
62.803,66.717,64.8,66.69,59.775,72.178,-477.955,0.448,5.956,B
65.16,63.144,63.418,63.236,54.739,71.124,-580.148,-1.754,2.444,B
62.856,66.187,63.502,65.196,52.924,72.291,-507.984,-1.226,3.082,B
64.072,66.913,63.148,64.844,67.212,71.551,-825.452,-1.774,1.151,B
64.149,65.721,63.141,64.778,14.89,72.709,-699.704,-0.753,4.287,B
62.809,63.138,64.6,65.08,26.985,68.622,-233.605,-1.24,5.516,B
63.546,65.461,61.985,64.619,28.768,69.212,-936.483,0.63,0.87,B
64.863,65.556,64.082,63.593,29.351,70.945,-788.348,-0.724,5.697,B
62.808,64.622,63.918,66.247,37.488,71.323,-93.464,0.389,0.829,B
64.767,64.083,61.237,63.899,60.943,71.85,-831.376,-1.939,-0.658,B
62.121,65.052,61.81,64.906,14.628,68.964,-33.007,-1.086,5.71,B
64.664,65.45,61.21,64.283,25.839,72.056,-402.646,-0.304,3.648,B
62.067,64.316,63.858,63.858,17.773,71.65,-343.879,0.457,2.672,B
64.038,65.178,63.908,66.637,79.361,72.836,-854.368,-1.396,0.919,B
63.437,63.577,64.154,64.939,26.26,72.632,-983.102,-0.341,-1.714,B
64.724,66.12,61.161,66.522,65.612,69.269,-807.02,-0.91,1.681,B
64.696,66.897,62.6,64.727,49.517,68.942,-260.62,0.471,1.957,B
65.47,63.196,64.094,65.428,55.7,69.964,-177.28,-0.85,3.548,B
63.788,65.403,63.135,63.228,45.858,69.957,-127.519,-1.263,0.304,B
63.009,66.757,62.103,64.72,45.495,71.216,-331.622,0.565,-0.38,B
62.989,63.089,61.8,64.158,80.091,70.363,-202.377,-0.918,1.628,B
62.539,63.795,61.744,64.426,20.777,71.54,-350.077,-0.992,0.141,B
64.751,65.45,64.341,64.246,68.75,72.22,-524.553,-1.978,0.116,B
62.81,66.199,62.777,63.869,71.831,68.252,-145.207,-1.939,-0.616,B
62.287,64.789,64.956,63.586,47.58,71.88,-949.41,-0.841,3.478,B
63.066,64.759,64.832,66.086,75.118,71.173,-79.462,-1.582,2.347,B
65.2,63.461,62.689,66.88,66.446,70.743,-208.817,-1.203,-1.224,B
64.651,65.149,64.378,65.81,34.308,72.842,-661.635,-0.301,0.931,B
63.988,65.342,63.514,64.822,55.035,71.573,-338.04,-1.644,4.922,B
64.043,66.958,63.961,66.938,17.607,70.03,-556.898,0.589,-1.105,B
63.23,66.657,64.325,63.622,10.85,69.011,-931.967,0.035,-1.452,B
64.167,66.336,64.317,63.981,13.326,69.727,-458.191,-0.136,2.473,B
64.729,65.159,61.789,65.448,21.068,71.167,-31.26,0.092,5.084,B
63.186,64.487,62.503,66.784,68.296,72.372,-171.05,-0.862,1.127,B
63.655,65.733,64.554,65.277,49.73,69.425,-210.836,-1.556,3.643,B
65.882,64.735,63.536,64.928,21.253,68.568,-643.482,-1.365,-1.205,B
63.158,65.042,64.948,66.071,21.864,71.499,-368.121,-0.388,3.635,B
64.805,64.028,64.528,65.283,75.42,71.001,-662.323,-0.099,-0.919,B
63.743,64.721,61.149,65.718,7.644,70.891,-657.079,-1.862,4.155,B
63.202,63.501,62.156,63.438,17.768,71.934,-191.357,0.019,-1.169,B
62.698,63.287,63.132,63.201,62.459,68.006,-892.648,-1.108,1.788,B
63.72,66.564,62.808,64.753,83.484,68.87,-10.728,-1.528,-1.535,B
64.855,65.514,61.789,64.497,78.918,72.085,-247.235,-1.316,-0.355,B
63.143,66.691,62.102,65.623,63.955,69.526,-8.294,-1.853,-1.954,B
63.152,64.991,63.75,64.679,23.307,69.482,-538.875,0.595,-1.595,B
63.529,64.252,61.918,65.16,56.2,68.21,-394.905,-0.337,5.269,B
65.194,63.498,64.46,65.081,11.664,68.895,-106.462,-0.712,-0.189,B
63.609,64.024,64.892,65.318,7.764,68.68,-25.223,-1.366,1.843,B
64.69,64.184,61.005,65.563,38.372,71.241,-344.131,-1.787,-1.062,B
64.463,64.437,61.905,66.242,25.029,69.978,-164.833,-1.776,-0.667,B
63.1,64.851,62.733,64.326,30.873,69.897,-604.884,-0.322,-0.743,B
63.863,66.46,64.018,64.483,54.547,69.062,-219.974,0.331,0.619,B
64.799,66.981,63.731,63.853,7.791,71.009,-937.371,-1.227,-1.008,B
64.984,63.847,63.094,64.145,7.606,71.822,-956.15,0.394,3.096,B
63.756,66.174,61.603,66.195,20.402,71.379,-736.937,-1.935,5.321,B
62.931,64.814,62.383,65.226,83.987,68.394,-881.359,-1.775,3.699,B
64.952,63.814,63.18,64.942,76.137,72.362,-588.236,0.776,4.307,B
65.333,66.615,61.571,66.155,82.221,71.147,-313.49,-1.214,3.801,B
64.252,63.144,63.635,66.29,71.664,68.075,-928.906,-1.263,-0.076,B
62.692,65.63,61.606,66.193,26.882,69.133,-668.024,0.893,3.778,B
62.757,64.353,61.022,63.183,25.113,70.202,-574.208,-0.101,3.46,B
64.471,64.771,61.777,63.147,19.823,72.211,-965.837,-1.273,5.224,B
64.351,66.919,63.853,64.253,37.371,72.892,-763.512,-1.456,1.29,B
65.31,65.754,62.414,66.433,47.98,69.671,-59.567,0.851,1.649,B
64.45,64.478,62.869,66.416,39.616,71.981,-807.581,-0.803,2.183,B
62.214,64.868,64.811,65.224,85.564,72.896,-364.665,-1.078,4.463,B
64.968,65.346,61.022,65.877,62.974,68.408,-501.332,-0.892,5.286,B
65.183,64.582,64.85,63.108,0.128,70.798,-95.944,0.79,1.295,B
65.695,66.911,63.718,66.132,29.48,69.112,-601.594,-1.501,-1.719,B
63.517,64.447,63.204,65.261,75.389,70.764,-69.924,-1.081,5.738,B
