feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
66.896,64.226,64.111,74.92,90.0,69.24,-586.748,-0.323,-2.491,F
65.253,65.697,65.256,74.862,90.0,68.867,-830.518,-1.896,1.762,F
65.935,67.6,63.437,72.173,90.0,71.963,-136.148,1.972,1.597,F
67.868,65.054,64.961,74.114,90.0,68.045,-605.058,-0.89,0.168,F
66.422,66.85,64.797,75.965,90.0,70.608,-522.915,0.91,-1.303,F
79.832,76.908,75.697,68.91,90.0,68.083,-631.405,-900.37,3.325,G
76.883,75.286,74.216,68.454,90.0,65.605,-120.492,-114.575,0.524,G
76.548,78.165,75.966,67.159,90.0,68.241,-82.875,-285.194,-0.811,G
79.151,75.856,74.868,65.385,90.0,67.525,-363.358,-971.651,-0.972,G
78.956,76.203,77.111,67.949,90.0,65.207,-233.276,-217.607,1.323,G
78.527,75.408,74.448,66.632,90.0,65.071,-606.099,-152.038,3.396,G
76.685,77.865,74.455,66.139,90.0,68.901,-339.805,-497.707,2.045,G
77.209,76.345,74.246,68.098,90.0,68.652,-773.211,-870.294,3.881,G
77.202,77.539,75.116,65.913,90.0,66.667,-640.553,-20.703,0.21,G
79.949,75.098,74.679,68.24,90.0,68.752,-310.407,-509.149,-0.412,G
76.288,75.459,61.666,63.601,41.255,70.222,0.073,-784.779,-0.836,H
77.53,74.355,64.389,64.317,12.324,71.931,-2.624,-618.017,-2.258,H
77.504,76.174,62.289,62.249,23.649,70.081,2.11,-533.601,-0.529,H
76.731,77.44,63.86,62.692,56.209,70.423,-1.941,-124.617,-1.029,H
78.083,75.969,64.297,63.812,18.92,69.721,-1.052,-616.569,-3.449,H
78.963,74.485,62.23,65.341,71.591,71.29,-3.038,-953.049,-3.25,H
77.511,75.05,64.937,64.616,13.229,70.642,-0.468,-652.052,-2.875,H
78.922,76.936,64.024,65.661,67.158,70.667,1.322,-106.738,-2.068,H
77.663,76.976,63.768,62.12,18.913,70.54,0.281,-90.866,-3.511,H
76.502,76.651,61.466,65.896,84.607,71.409,1.978,-710.254,-0.803,H
62.02,77.881,74.952,75.074,26.313,72.462,-459.109,-0.416,-2.479,I
63.294,75.294,76.554,77.731,63.75,71.198,-474.85,-1.42,1.166,I
63.324,75.974,76.218,76.152,37.512,72.978,-557.058,-1.605,4.828,I
63.044,74.302,76.32,76.826,65.667,69.136,-960.373,-1.354,-2.055,I
64.257,74.765,74.218,75.268,37.655,71.856,-323.069,-1.44,-2.777,I
64.425,76.616,76.183,76.104,8.372,71.56,-836.816,-0.737,-2.477,I
62.943,74.321,76.753,76.53,0.065,69.634,-434.447,-1.927,3.044,I
63.719,76.136,77.281,76.758,87.871,71.086,-980.632,-0.535,1.677,I
62.723,76.22,77.723,77.453,0.771,72.894,-906.937,-1.544,3.786,I
63.113,75.356,77.615,75.848,14.02,70.443,-687.686,0.831,1.81,I
63.769,77.105,74.163,74.346,22.063,72.182,-434.897,-158.54,0.535,J
61.061,74.748,76.474,75.088,29.8,69.91,-9.355,-789.15,-1.556,J
61.99,77.24,74.509,76.292,58.285,69.183,-837.393,-422.737,-2.879,J
64.212,75.879,75.037,75.429,6.511,69.429,-911.032,-10.704,-0.191,J
61.879,77.788,77.933,77.101,59.256,69.001,-560.339,-813.841,-3.28,J
62.861,77.609,77.092,75.613,2.591,71.428,-75.657,-679.181,1.845,J
63.25,74.817,74.294,77.873,1.808,69.049,-660.441,-631.233,-0.518,J
64.123,75.46,74.958,75.005,87.025,71.233,-33.626,-852.77,-3.839,J
64.039,74.588,74.944,74.644,79.14,70.281,-853.932,-56.397,-2.949,J
63.31,75.948,75.706,76.934,66.456,69.075,-265.188,-847.443,1.007,J
77.115,74.845,67.224,66.092,90.0,67.79,-137.135,-527.823,1.515,K
77.387,73.147,66.541,66.38,90.0,66.154,-41.727,-963.71,2.801,K
77.781,76.834,67.807,65.887,90.0,68.549,-294.481,-269.048,-0.181,K
75.422,76.255,67.306,63.279,90.0,67.969,-732.135,-489.608,0.547,K
76.81,73.872,66.095,65.281,90.0,67.935,-884.929,-477.415,1.376,K
75.479,74.696,65.541,63.689,90.0,66.073,-469.778,-492.747,1.882,K
77.473,74.481,68.414,65.794,90.0,66.162,-367.356,-297.94,-1.208,K
77.034,74.016,67.887,63.293,90.0,68.623,-48.322,-419.949,2.252,K
75.338,74.73,65.789,65.156,90.0,66.518,-467.579,-716.256,0.862,K
75.199,76.45,67.443,65.515,90.0,69.109,-76.676,-116.054,2.407,K
74.024,76.513,76.84,66.319,90.0,64.77,-235.857,-1.102,-2.474,L
77.876,76.791,77.775,64.332,90.0,66.064,-110.087,0.969,-2.135,L
75.46,74.392,77.02,66.54,90.0,66.09,-851.813,-1.394,5.574,L
75.925,74.044,77.998,63.559,90.0,64.021,-30.908,-0.864,5.803,L
74.507,75.257,76.157,66.573,90.0,64.187,-584.572,0.87,1.593,L
76.709,76.719,77.482,66.629,90.0,63.571,-385.479,-0.315,2.163,L
76.335,77.471,77.638,66.523,90.0,66.153,-431.629,-1.603,-0.138,L
75.933,77.673,74.816,64.503,90.0,65.795,-295.69,0.244,1.597,L
74.867,75.771,77.645,63.426,90.0,66.294,-420.958,-1.81,5.157,L
74.709,77.152,76.365,63.4,90.0,65.113,-335.397,-1.513,3.33,L
74.062,74.63,74.986,74.649,80.986,71.959,-457.399,-0.988,0.551,M
73.723,74.796,71.841,74.44,0.295,72.135,-134.333,-1.366,1.845,M
73.017,74.152,72.968,71.767,5.922,72.73,-878.045,-1.184,-0.873,M
72.963,71.415,73.419,72.049,7.108,69.045,-128.64,-0.083,2.4,M
74.282,74.415,73.175,71.165,71.884,70.969,-191.024,0.06,4.846,M
75.466,74.381,71.928,74.101,37.035,70.795,-563.763,0.284,2.178,M
74.691,72.262,74.37,71.299,73.237,69.283,-134.405,-0.357,-2.518,M
72.754,74.262,73.842,73.69,74.566,71.893,-415.967,-0.81,-0.572,M
73.51,73.217,71.166,71.555,25.072,69.89,-296.371,-0.337,-2.139,M
73.732,74.238,73.468,73.76,26.004,71.477,-815.902,0.144,3.492,M
75.206,72.515,72.77,74.242,90.0,70.343,-645.28,0.981,-2.067,N
72.939,72.814,72.078,73.059,90.0,69.354,-862.51,-1.923,4.653,N
74.854,73.99,74.252,71.162,90.0,71.807,-867.376,-0.867,-1.515,N
75.631,74.643,71.316,72.314,90.0,71.249,-753.348,-0.281,-0.92,N
72.243,72.661,73.015,72.702,90.0,70.121,-831.358,0.856,4.142,N
74.355,72.423,74.981,73.76,90.0,72.548,-504.656,-1.179,4.17,N
73.991,71.706,71.249,71.571,90.0,71.082,-294.949,-0.686,2.952,N
72.627,72.293,73.159,74.209,90.0,70.683,-419.799,-0.994,4.016,N
75.51,72.002,71.869,74.644,90.0,70.543,-51.74,0.372,3.956,N
73.764,72.27,71.233,71.805,90.0,69.198,-591.834,-0.992,-2.391,N
75.066,73.102,75.392,74.279,90.0,73.974,-125.312,-490.084,0.855,O
73.405,74.057,72.554,74.829,90.0,73.402,-288.879,-219.848,2.646,O
75.793,73.023,75.085,74.73,90.0,72.616,-341.254,-404.799,1.668,O
73.782,74.52,75.829,74.843,90.0,70.686,-13.577,-115.865,3.749,O
75.878,72.852,74.535,75.751,90.0,73.549,-999.59,-776.664,2.013,O
73.158,74.403,75.85,75.662,90.0,71.03,-753.852,-241.206,-0.566,O
75.385,73.28,74.58,74.416,90.0,70.803,-479.272,-550.031,5.143,O
73.003,75.221,73.952,72.431,90.0,71.02,-283.262,-86.001,5.471,O
73.021,73.192,72.379,74.666,90.0,70.739,-941.429,-887.095,4.816,O
75.202,72.716,73.446,74.128,90.0,70.871,-305.709,-953.159,2.018,O
75.799,73.434,68.982,65.976,90.0,66.678,776.21,-317.691,926.372,P
76.853,73.942,65.338,63.6,90.0,69.94,854.004,-15.375,390.71,P
74.657,75.141,68.77,63.069,90.0,68.184,701.975,-725.489,273.634,P
76.456,73.414,66.906,63.17,90.0,68.843,913.554,-239.944,862.523,P
76.481,76.434,65.89,65.531,90.0,67.213,95.639,-884.634,756.537,P
75.028,73.873,68.646,64.342,90.0,67.256,976.276,-752.213,532.529,P
74.097,76.56,65.959,65.376,90.0,66.444,121.072,-76.53,577.971,P
76.907,75.287,68.827,66.851,90.0,69.79,538.619,-888.021,976.646,P
76.293,73.595,66.131,66.263,90.0,68.055,540.81,-735.741,842.544,P
77.342,75.797,66.531,66.791,90.0,67.24,151.415,-559.058,423.22,P
77.24,77.718,77.485,65.874,90.0,66.376,1.876,-2.057,891.403,Q
76.765,76.649,74.379,68.216,90.0,66.889,0.306,-0.383,484.543,Q
76.368,75.198,77.258,65.335,90.0,66.782,2.722,-2.674,988.194,Q
78.3,75.579,77.474,66.919,90.0,67.021,3.935,-2.729,205.585,Q
77.355,75.992,76.903,68.533,90.0,65.574,1.612,-2.581,741.664,Q
76.577,78.324,77.888,65.998,90.0,67.173,3.799,-2.153,435.21,Q
78.255,75.344,74.749,66.883,90.0,67.949,0.998,-2.984,978.467,Q
79.451,76.589,74.768,66.6,90.0,66.391,2.395,-1.376,695.989,Q
78.567,77.202,76.494,66.207,90.0,66.252,2.762,-1.889,236.875,Q
78.07,75.107,74.858,68.504,90.0,65.83,0.743,-2.151,802.062,Q
76.008,77.639,70.454,62.825,90.0,69.314,-601.934,-0.587,3.207,R
76.269,77.503,67.218,63.537,90.0,72.548,-204.085,-0.598,-1.039,R
77.822,75.431,70.253,63.905,90.0,70.072,-893.284,-1.658,0.319,R
74.001,74.838,68.932,64.713,90.0,69.84,-510.027,-0.201,-0.189,R
75.945,75.664,68.889,61.574,90.0,70.199,-843.296,-0.468,4.121,R
75.905,74.359,68.67,62.469,90.0,72.31,-794.737,-0.922,2.424,R
77.04,77.053,68.765,63.302,90.0,71.26,-192.381,-1.498,3.142,R
74.422,74.222,67.429,61.324,90.0,70.581,-102.471,0.871,0.856,R
75.966,76.261,69.192,62.414,90.0,70.949,-799.759,-1.952,5.654,R
76.822,76.959,69.311,62.887,90.0,70.858,-186.501,0.447,5.085,R
78.113,78.554,75.665,78.646,36.185,74.758,-774.619,-0.009,2.775,S
77.442,78.585,75.325,75.964,45.733,74.399,-54.987,-0.096,-1.455,S
77.11,78.587,76.186,77.789,10.638,75.286,-409.185,-1.349,-1.063,S
76.613,76.421,77.263,76.479,4.87,74.999,-421.289,-0.223,-2.655,S
79.101,77.698,76.877,78.668,31.774,75.653,-766.999,-0.721,-2.346,S
79.556,77.25,78.278,78.185,7.734,73.435,-739.928,-1.536,5.873,S
76.409,78.963,75.251,78.728,41.508,72.538,-869.867,0.855,-0.441,S
77.043,78.509,75.91,75.493,49.659,74.791,-191.529,-0.289,4.123,S
77.792,75.513,76.375,75.324,45.792,74.784,-654.657,0.91,-2.088,S
79.993,75.844,75.333,76.648,11.812,72.656,-777.682,0.728,0.317,S
79.693,78.418,75.086,74.489,90.0,67.264,-40.503,-980.786,5.97,T
79.008,75.315,78.789,75.233,90.0,66.452,-72.612,-560.201,5.922,T
76.942,77.337,75.457,74.98,90.0,67.156,-850.433,-488.206,-0.111,T
79.486,78.204,77.048,72.656,90.0,67.385,-978.528,-413.082,-0.379,T
77.14,75.173,78.717,74.325,90.0,67.825,-960.425,-977.457,3.883,T
76.948,76.873,75.045,72.763,90.0,66.109,-67.45,-547.271,-0.771,T
78.952,78.749,76.068,74.245,90.0,67.127,-458.203,-780.818,1.111,T
78.08,75.155,76.205,73.536,90.0,68.058,-942.777,-51.96,4.944,T
76.064,75.84,76.437,72.455,90.0,66.276,-555.372,-889.216,5.346,T
79.852,77.266,77.853,75.711,90.0,68.484,-154.025,-608.266,3.497,T
77.032,76.825,63.992,63.26,54.276,68.859,-375.862,-2.791,-0.554,U
76.396,75.839,61.181,63.022,54.057,70.762,-768.396,0.922,4.313,U
76.759,75.293,63.406,65.388,20.517,71.041,-842.376,0.869,-2.925,U
77.022,74.469,64.845,64.518,36.606,69.221,-901.005,-1.179,-1.494,U
77.933,76.881,61.034,65.829,32.631,68.378,-203.28,-0.08,1.474,U
77.383,77.946,61.574,62.156,69.297,68.891,-839.7,-1.358,-2.248,U
77.832,75.957,61.816,65.55,84.032,70.047,-513.465,-3.281,3.64,U
76.286,76.223,61.878,63.352,32.918,69.136,-154.477,0.778,4.668,U
79.317,74.851,62.13,63.169,84.377,70.617,-285.378,-3.043,5.935,U
78.126,74.316,62.394,62.264,10.708,69.604,-454.769,-3.936,3.845,U
76.788,76.147,62.524,63.906,90.0,70.42,-108.172,-1.379,3.026,V
77.826,74.404,62.462,65.709,90.0,70.777,-671.083,-1.287,4.557,V
76.04,74.312,61.596,62.814,90.0,68.782,-490.33,-3.582,1.9,V
79.012,76.947,61.754,63.738,90.0,71.164,-722.384,-0.744,-1.905,V
79.846,75.798,64.103,62.181,90.0,71.963,-639.185,-3.678,-2.036,V
77.433,75.922,62.104,65.796,90.0,69.23,-495.672,-1.772,5.592,V
76.643,76.16,61.875,64.778,90.0,70.579,-615.558,0.99,2.706,V
78.301,74.19,61.596,64.293,90.0,69.863,-646.269,0.21,1.613,V
76.839,77.299,62.835,63.842,90.0,71.343,-905.105,-1.517,5.453,V
77.542,75.019,63.34,65.581,90.0,71.615,-658.62,-1.311,0.89,V
79.474,64.51,65.297,63.719,90.0,68.088,-7.247,-0.956,-1.084,W
76.141,65.821,65.149,63.865,90.0,69.504,-646.432,0.043,-2.267,W
76.598,67.598,64.239,64.713,90.0,68.913,-262.545,0.25,-0.468,W
79.24,67.699,63.057,64.939,90.0,71.496,-833.659,0.046,0.932,W
77.156,66.727,64.324,62.134,90.0,70.118,-256.385,-0.358,-1.709,W
78.302,67.221,65.738,64.351,90.0,69.748,-804.701,-1.587,3.759,W
76.084,64.981,62.41,62.46,90.0,68.872,-514.424,-1.436,0.906,W
79.685,66.173,64.57,64.864,90.0,70.287,-551.976,0.45,4.142,W
78.173,65.203,63.991,63.167,90.0,70.648,-18.907,-1.723,4.895,W
77.762,65.698,62.947,65.297,90.0,70.455,-96.601,-1.727,-1.541,W
79.539,76.142,76.902,72.204,90.0,74.289,-48.618,-685.47,1.214,X
79.955,77.768,78.208,72.755,90.0,74.566,-48.189,-221.862,5.06,X
79.757,76.359,77.033,72.529,90.0,72.054,-384.333,-167.957,0.993,X
79.425,75.567,76.0,72.562,90.0,73.866,-466.602,-800.01,-0.755,X
79.85,77.349,75.567,72.156,90.0,72.96,-767.595,-157.984,3.575,X
79.004,75.857,76.171,72.359,90.0,75.274,-109.544,-171.783,5.244,X
77.427,78.137,77.293,72.077,90.0,74.981,-675.718,-45.041,1.523,X
76.73,76.936,77.248,72.199,90.0,75.563,-964.075,-604.537,1.873,X
79.133,75.928,77.293,72.672,90.0,72.522,-11.422,-612.361,-0.885,X
77.407,75.508,75.87,72.393,90.0,73.532,-991.138,-566.493,3.604,X
64.394,74.859,75.122,74.466,12.768,66.376,-727.309,-2.995,-0.881,Y
62.649,74.264,74.252,77.604,0.933,65.192,-643.881,-1.135,-0.519,Y
64.901,76.448,75.694,74.925,20.634,64.852,-637.731,-1.247,3.431,Y
65.964,73.292,76.518,77.732,63.814,64.45,-307.175,-0.296,-0.254,Y
62.012,76.727,76.385,76.671,73.713,65.563,-980.74,-2.092,2.081,Y
65.313,75.034,75.603,76.289,10.111,64.077,-645.454,-0.523,-1.125,Y
65.005,75.874,75.249,75.324,73.844,65.861,-575.092,-2.063,0.409,Y
64.133,75.922,76.398,74.589,83.319,66.979,-403.428,-1.259,2.198,Y
63.851,75.969,76.047,77.246,23.247,67.454,-486.365,-2.839,-2.591,Y
62.884,75.821,75.364,75.121,53.645,64.265,-465.199,-1.394,5.897,Y
76.263,76.031,78.733,65.304,90.0,69.218,0.855,-2.316,388.5,Z
77.621,76.493,78.93,64.233,90.0,71.378,2.668,0.724,192.588,Z
79.602,76.203,78.076,63.807,90.0,71.625,1.52,-4.846,857.909,Z
77.454,75.192,78.26,65.771,90.0,71.481,-0.101,-3.781,879.344,Z
79.669,75.886,76.263,65.977,90.0,71.729,2.015,-4.375,759.785,Z
77.581,78.424,78.912,63.511,90.0,69.054,0.316,-2.369,76.484,Z
77.111,78.21,76.752,65.737,90.0,70.635,3.878,-2.28,894.852,Z
79.691,75.776,75.779,63.02,90.0,70.708,0.236,-3.776,350.585,Z
77.489,75.436,76.23,65.313,90.0,70.788,3.503,0.794,793.656,Z
78.474,76.912,75.42,63.166,90.0,71.917,1.256,-1.467,150.016,Z
